id,smiles,formula,num_atomos,energia_eV,centro_masa_x,centro_masa_y,centro_masa_z,fuerza_promedio,imagen
0,[Fe],Fe,1,-34383.42850178591,0.0,0.0,0.0,0.0,outputs_moleculas/mol_0_Fe.png
1,[Fe+2],Fe,1,-34383.42850178591,0.0,0.0,0.0,0.0,outputs_moleculas/mol_1_Fe.png
2,[Fe+3],Fe,1,-34383.42850178591,0.0,0.0,0.0,0.0,outputs_moleculas/mol_2_Fe.png
3,C1=CC=[C-]C=C1.[Fe+2],C6H5Fe,12,-40656.099554309265,0.007903562214650498,-0.11140298531037748,0.0005875946777384146,0.09379932284355164,outputs_moleculas/mol_3_C6H5Fe.png
4,C1=CC=CC=C1[Fe]C1=CC=CC=C1,C12H10Fe,23,-46979.31179219682,-1.5612372803572356,-2.2949592267813013,-10.35228299985242,0.0030248775146901608,outputs_moleculas/mol_4_C12H10Fe.png
5,OC(=O)[Fe]OC(=O)O,C2H2FeO5,10,-46716.89770426298,-1.16658114505986,-1.6079158675051577,-2.548945484253574,-0.0031297525856643915,outputs_moleculas/mol_5_C2H2FeO5.png
9,CC(=O)O[Fe]OOC(C)=O,C4H6FeO5,16,-48821.541124846015,-0.17160238401111985,-0.16397208211359854,0.5119928932460038,0.05735492706298828,outputs_moleculas/mol_9_C4H6FeO5.png
10,[Ni],Ni,1,-41039.92808633622,0.0,0.0,0.0,0.0,outputs_moleculas/mol_10_Ni.png
11,[Ni+2],Ni,1,-41039.92808633622,0.0,0.0,0.0,0.0,outputs_moleculas/mol_11_Ni.png
15,O=[Ni]=O,NiO2,3,-45125.848999654336,-0.0571333142944094,-0.3622053583912036,0.0,0.04667074978351593,outputs_moleculas/mol_15_NiO2.png
16,C1=CC=CC=C1[Ni]C1=CC=CC=C1,C12H10Ni,23,-53640.11893632276,-0.2975695602835812,-9.715108159680307,-2.194450269274522,0.003059919225051999,outputs_moleculas/mol_16_C12H10Ni.png
17,CC(=O)O[Ni]OOC(C)=O,C4H6NiO5,16,-55493.4109246593,-0.20312273913738116,0.04964137889536489,0.4886431978562137,-0.6704884171485901,outputs_moleculas/mol_17_C4H6NiO5.png
19,[Co],Co,1,-37623.47198155286,0.0,0.0,0.0,0.0,outputs_moleculas/mol_19_Co.png
20,[Co+2],Co,1,-37623.47198155286,0.0,0.0,0.0,0.0,outputs_moleculas/mol_20_Co.png
21,[Co+3],Co,1,-37623.47198155286,0.0,0.0,0.0,0.0,outputs_moleculas/mol_21_Co.png
26,O=[Co]=O,CoO2,3,-41712.47157785545,-0.05513084936726997,-0.363618675927647,0.0,0.027981098741292953,outputs_moleculas/mol_26_CoO2.png
27,CC(=O)O[Co]OOC(C)=O,C4H6CoO5,16,-52064.42626122986,-0.17875024729588648,-0.13565380829634852,0.5450044925289009,-0.125640869140625,outputs_moleculas/mol_27_C4H6CoO5.png
29,[Mn],Mn,1,-31317.9261898231,0.0,0.0,0.0,0.0,outputs_moleculas/mol_29_Mn.png
30,[Mn+2],Mn,1,-31317.9261898231,0.0,0.0,0.0,0.0,outputs_moleculas/mol_30_Mn.png
31,[Mn+3],Mn,1,-31317.9261898231,0.0,0.0,0.0,0.0,outputs_moleculas/mol_31_Mn.png
35,O=[Mn]=O,MnO2,3,-35408.96060541359,-0.04935907422702599,-0.3664611094473082,0.0,-0.03133601322770119,outputs_moleculas/mol_35_MnO2.png
36,CC(=O)O[Mn]OOC(C)=O,C4H6MnO5,16,-45756.69636462322,-0.1527741405673209,-0.1450425311134963,0.5212726439889098,-0.32794666290283203,outputs_moleculas/mol_36_C4H6MnO5.png
38,[Cr],Cr,1,-28418.38077740936,0.0,0.0,0.0,0.0,outputs_moleculas/mol_38_Cr.png
39,[Cr+2],Cr,1,-28418.38077740936,0.0,0.0,0.0,0.0,outputs_moleculas/mol_39_Cr.png
40,[Cr+3],Cr,1,-28418.38077740936,0.0,0.0,0.0,0.0,outputs_moleculas/mol_40_Cr.png
45,CC(=O)O[Cr]OOC(C)=O,C4H6CrO5,16,-42858.725287932946,-0.14453838618337722,-0.15472831138346255,0.4962895026469357,-0.27367258071899414,outputs_moleculas/mol_45_C4H6CrO5.png
