id,smiles,formula,num_atomos,energia_eV,centro_masa_x,centro_masa_y,centro_masa_z,fuerza_promedio,emb_x,emb_y,nombre
0,[Fe],Fe,1,-34383.42850178591,0.0,0.0,0.0,0.0,-134.73146057128906,242.22219848632812,Fe
1,[Fe+2],Fe,1,-34383.42850178591,0.0,0.0,0.0,0.0,-311.75701904296875,87.46881103515625,Fe
2,[Fe+3],Fe,1,-34383.42850178591,0.0,0.0,0.0,0.0,239.62059020996094,104.21697998046875,Fe
3,C1=CC=[C-]C=C1.[Fe+2],C6H5Fe,12,-40656.099554309265,0.007903562214650498,-0.11140298531037748,0.0005875946777384146,0.09379932284355164,-233.12962341308594,156.96287536621094,C6H5Fe
4,C1=CC=CC=C1[Fe]C1=CC=CC=C1,C12H10Fe,23,-46979.31179219682,-1.5612372803572356,-2.2949592267813013,-10.35228299985242,0.0030248775146901608,362.6250305175781,396.69195556640625,C12H10Fe
5,OC(=O)[Fe]OC(=O)O,C2H2FeO5,10,-46716.89770426298,-1.16658114505986,-1.6079158675051577,-2.548945484253574,-0.0031297525856643915,115.2757797241211,258.7796630859375,C2H2FeO5
9,CC(=O)O[Fe]OOC(C)=O,C4H6FeO5,16,-48821.541124846015,-0.17160238401111985,-0.16397208211359854,0.5119928932460038,0.05735492706298828,-98.65609741210938,-405.9333190917969,C4H6FeO5
10,[Ni],Ni,1,-41039.92808633622,0.0,0.0,0.0,0.0,239.62059020996094,104.21697998046875,Ni
11,[Ni+2],Ni,1,-41039.92808633622,0.0,0.0,0.0,0.0,239.62059020996094,104.21697998046875,Ni
15,O=[Ni]=O,NiO2,3,-45125.848999654336,-0.0571333142944094,-0.3622053583912036,0.0,0.04667074978351593,-167.59779357910156,-337.3594055175781,NiO2
16,C1=CC=CC=C1[Ni]C1=CC=CC=C1,C12H10Ni,23,-53640.11893632276,-0.2975695602835812,-9.715108159680307,-2.194450269274522,0.003059919225051999,321.0021057128906,418.8262634277344,C12H10Ni
17,CC(=O)O[Ni]OOC(C)=O,C4H6NiO5,16,-55493.4109246593,-0.20312273913738116,0.04964137889536489,0.4886431978562137,-0.6704884171485901,-150.78941345214844,-263.7440185546875,C4H6NiO5
19,[Co],Co,1,-37623.47198155286,0.0,0.0,0.0,0.0,296.4497375488281,-388.92840576171875,Co
20,[Co+2],Co,1,-37623.47198155286,0.0,0.0,0.0,0.0,239.62059020996094,104.21697998046875,Co
21,[Co+3],Co,1,-37623.47198155286,0.0,0.0,0.0,0.0,239.62059020996094,104.21697998046875,Co
26,O=[Co]=O,CoO2,3,-41712.47157785545,-0.05513084936726997,-0.363618675927647,0.0,0.027981098741292953,-748.8880004882812,-305.39569091796875,CoO2
27,CC(=O)O[Co]OOC(C)=O,C4H6CoO5,16,-52064.42626122986,-0.17875024729588648,-0.13565380829634852,0.5450044925289009,-0.125640869140625,-34.54029083251953,-362.9165954589844,C4H6CoO5
29,[Mn],Mn,1,-31317.9261898231,0.0,0.0,0.0,0.0,239.62059020996094,104.21697998046875,Mn
30,[Mn+2],Mn,1,-31317.9261898231,0.0,0.0,0.0,0.0,-346.6094970703125,420.33221435546875,Mn
31,[Mn+3],Mn,1,-31317.9261898231,0.0,0.0,0.0,0.0,239.62059020996094,104.21697998046875,Mn
35,O=[Mn]=O,MnO2,3,-35408.96060541359,-0.04935907422702599,-0.3664611094473082,0.0,-0.03133601322770119,-74.82440185546875,277.7914123535156,MnO2
36,CC(=O)O[Mn]OOC(C)=O,C4H6MnO5,16,-45756.69636462322,-0.1527741405673209,-0.1450425311134963,0.5212726439889098,-0.32794666290283203,1.8409838676452637,-312.9227600097656,C4H6MnO5
38,[Cr],Cr,1,-28418.38077740936,0.0,0.0,0.0,0.0,-311.75701904296875,87.46881103515625,Cr
39,[Cr+2],Cr,1,-28418.38077740936,0.0,0.0,0.0,0.0,239.62059020996094,104.21697998046875,Cr
40,[Cr+3],Cr,1,-28418.38077740936,0.0,0.0,0.0,0.0,591.6477661132812,556.8525390625,Cr
45,CC(=O)O[Cr]OOC(C)=O,C4H6CrO5,16,-42858.725287932946,-0.14453838618337722,-0.15472831138346255,0.4962895026469357,-0.27367258071899414,35.69977569580078,-269.4071044921875,C4H6CrO5
